subject,p_water,p_geo,p_corr,jw_geo_dB,jw_corr_dB,jw_improvement_dB,kw_geo_dB,kw_corr_dB,delta_geo_dB,delta_corr_dB,total_time_s
GU002,0.196846,0.0164545,0.0769537,21.56,8.16,13.40,11.41,13.94,10.15,-5.78,330.0
GU006,0.190287,0.016423,0.0988298,21.28,5.69,15.59,10.27,16.46,11.01,-10.77,370.4
GU008,0.19037,0.0284753,0.131471,16.50,3.22,13.29,4.16,6.96,12.34,-3.74,362.1
GU009,0.19672,0.00861399,0.104541,27.17,5.49,21.68,6.39,11.62,20.78,-6.13,363.5
GU010,0.196634,0.0147407,0.112568,22.50,4.84,17.66,8.60,12.04,13.90,-7.20,494.2
GU011,0.196637,0.0167529,0.10815,21.39,5.19,16.20,9.06,14.92,12.33,-9.73,362.9
GU012,0.196673,0.0266634,0.130987,17.36,3.53,13.83,10.52,13.57,6.84,-10.04,363.6
GU015,0.196644,0.0183256,0.131332,20.61,3.51,17.11,4.19,9.56,16.42,-6.05,493.6
GU016,0.196784,0.0370705,0.134776,14.50,3.29,11.21,7.37,12.92,7.13,-9.63,491.3
GU017,0.196607,0.0255067,0.132209,17.74,3.45,14.29,6.88,12.85,10.86,-9.40,493.6
GU018,0.19668,0.0149522,0.131593,22.38,3.49,18.89,8.04,11.63,14.34,-8.14,363.2
GU019,0.196705,0.0337621,0.134073,15.31,3.33,11.98,7.44,11.01,7.87,-7.68,491.4
GU020,0.196804,0.0259246,0.12263,17.61,4.11,13.50,7.84,12.27,9.77,-8.16,490.8
GU021,0.196828,0.00903714,0.110072,26.76,5.05,21.71,2.24,6.57,24.52,-1.52,493.4
GU024,0.196887,0.0296552,0.135516,16.44,3.24,13.20,6.15,11.38,10.29,-8.14,493.1
GU025,0.196723,0.067152,0.157177,9.34,1.95,7.39,4.67,8.95,4.67,-7.00,492.2
GU026,0.196574,0.0258124,0.121654,17.63,4.17,13.47,4.23,7.67,13.40,-3.50,491.9
GU027,0.196719,0.0404896,0.136477,13.73,3.18,10.55,2.40,6.15,11.33,-2.97,490.8
GU029,0.196622,0.0151607,0.11467,22.26,4.68,17.57,9.41,14.81,12.85,-10.13,494.2
GU030,0.196731,0.0293034,0.126101,16.54,3.86,12.68,3.94,9.62,12.60,-5.76,491.9
GU032,0.196663,0.0286386,0.118567,16.74,4.40,12.34,5.33,8.99,11.41,-4.59,493.0
GU033,0.196855,0.0404921,0.107027,13.74,5.29,8.44,7.30,12.53,6.44,-7.24,491.3
GU035,0.196814,0.0214518,0.12923,19.25,3.65,15.60,11.21,17.42,8.04,-13.77,491.8
GU036,0,0,0,nan,nan,nan,2.48,6.85,nan,nan,153.3
GU038,0.196732,0.0163747,0.113783,21.59,4.76,16.84,3.23,6.30,18.36,-1.54,490.5
GU039,0.196639,0.030658,0.0957894,16.14,6.25,9.90,6.39,12.44,9.75,-6.19,492.5
GU040,0.196851,0.0203037,0.121464,19.73,4.19,15.54,7.30,13.71,12.43,-9.52,492.5
GU041,0.196572,0.0296944,0.119075,16.42,4.35,12.06,6.05,9.04,10.37,-4.69,493.5
NC004,0.196743,0.0306669,0.108946,16.14,5.13,11.01,7.37,10.20,8.77,-5.07,559.3
NC008,0.19674,0.0160011,0.108403,21.79,5.18,16.62,3.51,6.94,18.28,-1.76,597.2
