subject,p_water,p_geo,p_corr,jw_geo_dB,jw_corr_dB,jw_improvement_dB,kw_geo_dB,kw_corr_dB,delta_geo_dB,delta_corr_dB,total_time_s
NC024,0.196786,0.0308584,0.125979,16.09,3.87,12.22,13.55,9.94,2.54,-6.07,601.7
NC011,0.196763,0.028389,0.129038,16.82,3.66,13.15,15.83,11.29,0.99,-7.63,401.4
NC015,0.196721,0.000187314,0.134164,60.43,3.32,57.10,16.01,10.03,44.42,-6.71,400.4
NYU005,0.196734,0.0222619,0.130176,18.93,3.59,15.34,17.52,13.09,1.41,-9.50,401.5
NYU008,0.196697,0.0340738,0.137729,15.23,3.10,12.13,18.06,13.67,-2.83,-10.57,400.6
GU006,0.190287,0.0131779,0.0975911,23.19,5.80,17.39,18.24,13.01,4.95,-7.21,371.5
NC017,0.196728,0.0306008,0.100718,16.16,5.82,10.35,18.21,13.14,-2.05,-7.32,601.9
NC012,0.196708,0.0321797,0.10758,15.72,5.24,10.48,19.00,17.92,-3.28,-12.68,401.5
NC029,0.196724,0.00263045,0.0903053,37.48,6.76,30.71,20.71,16.13,16.77,-9.37,600.8
NC033,0.196769,0.00753171,0.103812,28.34,5.55,22.79,20.55,17.85,7.79,-12.30,601.1
GU035,0.196814,0.0189094,0.129088,20.35,3.66,16.68,24.66,18.27,-4.31,-14.61,495.1
