subject,p_water,p_geo,p_corr,jw_geo_dB,jw_corr_dB,jw_improvement_dB,kw_geo_dB,kw_corr_dB,delta_geo_dB,delta_corr_dB,total_time_s
NC021,0.196559,0.0147946,0.118593,22.47,4.39,18.08,1.00,5.43,21.47,-1.04,602.5
GU027,0.196719,0.0342049,0.128624,15.20,3.69,11.50,2.40,6.15,12.80,-2.46,494.0
NC008,0.19674,0.0178689,0.109884,20.84,5.06,15.78,3.51,6.94,17.33,-1.88,600.8
NC019,0.196624,0.0207626,0.135982,19.53,3.20,16.32,4.11,7.11,15.42,-3.91,1013.1
GU025,0.196723,0.0667886,0.157216,9.38,1.95,7.44,4.67,8.95,4.71,-7.00,495.4
NC020,0.196916,0.0179138,0.118069,20.82,4.44,16.38,5.67,13.82,15.15,-9.38,728.7
NYU004,0.196732,0.00345076,0.128238,35.12,3.72,31.40,6.40,12.83,28.72,-9.11,402.6
NC027,0.19668,0.0310973,0.138762,16.02,3.03,12.99,7.09,11.46,8.93,-8.43,601.6
GU020,0.196804,0.0312374,0.121452,15.99,4.19,11.79,7.84,12.27,8.15,-8.08,497.9
NYU002,0.196752,0.0291318,0.139122,16.59,3.01,13.58,8.14,11.36,8.45,-8.35,408.8
